CategoryID,CategoryName,Description,CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,EmployeeID,LastName,FirstName,Title,TitleOfCourtesy,BirthDate,HireDate,Address2,City3,Region4,PostalCode5,Country6,HomePhone,Extension,Notes,ReportsTo,OrderID,ProductID,UnitPrice,Quantity,Discount,OrderID7,CustomerID8,EmployeeID9,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,ProductID10,ProductName,SupplierID,CategoryID11,QuantityPerUnit,UnitPrice12,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,ShipperID,CompanyName13,Phone14,SupplierID15,CompanyName16,ContactName17,ContactTitle18,Address19,City20,Region21,PostalCode22,Country23,Phone24,Fax25,HomePage,Value
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,1,Davolio,Nancy,Sales Representative,Ms.,12/8/1948 0:00,5/1/1992 0:00,"507 - 20th Ave. E.
Apt. 2A",Seattle,WA,98122,USA,(206) 555-9857,5467,"Education includes a BA in psychology from Colorado State University in 1970.  She also completed ""The Art of the Cold Call.""  Nancy is a member of Toastmasters International.",2,10981,38,263.5,60,0,10981,HANAR,1,4/26/1996 0:00,5/24/1996 0:00,5/2/1996 0:00,2,193.37,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,17,0,15,0,2,United Package,(503) 555-3199,18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,15810
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,,5020,Austria,6562-9722,6562-9723,7,King,Robert,Sales Representative,Mr.,5/29/1960 0:00,1/2/1994 0:00,"Edgeham Hollow
Winchester Way",London,,RG1 9SP,UK,(71) 555-5598,465,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan in 1992, the year he joined the company.  After completing a course entitled ""Selling in Europe,"" he was transferred to the London office in March 1993.",5,10353,38,210.8,50,0.200000003,10353,PICCO,7,12/14/1994 0:00,1/11/1995 0:00,12/26/1994 0:00,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,17,0,15,0,3,Federal Shipping,(503) 555-9931,18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,10540
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",SIMOB,Simons bistro,Jytte Petersen,Owner,Vinbæltet 34,København,,1734,Denmark,31 12 34 56,31 13 35 57,4,Peacock,Margaret,Sales Representative,Mrs.,9/19/1937 0:00,5/3/1993 0:00,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,5176,Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.,2,10417,38,210.8,50,0,10417,SIMOB,4,2/16/1995 0:00,3/16/1995 0:00,2/28/1995 0:00,3,70.29,Simons bistro,Vinbæltet 34,København,,1734,Denmark,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,17,0,15,0,3,Federal Shipping,(503) 555-9931,18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,10540
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,9,Dodsworth,Anne,Sales Representative,Ms.,1/27/1966 0:00,11/15/1994 0:00,7 Houndstooth Rd.,London,,WG2 7LT,UK,(71) 555-4444,452,Anne has a BA degree in English from St. Lawrence College.  She is fluent in French and German.,5,10889,38,263.5,40,0,10889,RATTC,9,3/18/1996 0:00,4/15/1996 0:00,3/25/1996 0:00,3,280.61,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,17,0,15,0,3,Federal Shipping,(503) 555-9931,18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,10540
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745,8,Callahan,Laura,Inside Sales Coordinator,Ms.,1/9/1958 0:00,3/5/1994 0:00,4726 - 11th Ave. N.E.,Seattle,WA,98105,USA,(206) 555-1189,2344,Laura received a BA in psychology from the University of Washington.  She has also completed a course in business French.  She reads and writes French.,2,10354,1,14.4,12,0,10354,PERIC,8,12/15/1994 0:00,1/12/1995 0:00,12/21/1994 0:00,3,53.8,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico,1,Chai,1,1,10 boxes x 20 bags,18,39,0,10,0,3,Federal Shipping,(503) 555-9931,1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,,172.8
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055,7,King,Robert,Sales Representative,Mr.,5/29/1960 0:00,1/2/1994 0:00,"Edgeham Hollow
Winchester Way",London,,RG1 9SP,UK,(71) 555-5598,465,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan in 1992, the year he joined the company.  After completing a course entitled ""Selling in Europe,"" he was transferred to the London office in March 1993.",5,10424,38,210.8,49,0.200000003,10424,MEREP,7,2/23/1995 0:00,3/23/1995 0:00,2/27/1995 0:00,2,370.61,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,17,0,15,0,2,United Package,(503) 555-3199,18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,10329.2
6,Meat/Poultry,Prepared meats,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,,Ireland,2967 542,2967 3333,3,Leverling,Janet,Sales Representative,Ms.,8/30/1963 0:00,4/1/1992 0:00,722 Moss Bay Blvd.,Kirkland,WA,98033,USA,(206) 555-3412,3355,Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.,2,10897,29,123.79,80,0,10897,HUNGO,3,3/21/1996 0:00,4/18/1996 0:00,3/27/1996 0:00,2,603.54,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,29,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,0,0,0,1,2,United Package,(503) 555-3199,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,9903.2
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,,01307,Germany,0372-035188,,3,Leverling,Janet,Sales Representative,Ms.,8/30/1963 0:00,4/1/1992 0:00,722 Moss Bay Blvd.,Kirkland,WA,98033,USA,(206) 555-3412,3355,Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.,2,10540,38,263.5,30,0,10540,QUICK,3,6/19/1995 0:00,7/17/1995 0:00,7/14/1995 0:00,3,1007.64,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,17,0,15,0,3,Federal Shipping,(503) 555-9931,18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,7905
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634,,5,Buchanan,Steven,Sales Manager,Mr.,3/4/1955 0:00,10/17/1993 0:00,14 Garrett Hill,London,,SW1 8JR,UK,(71) 555-4848,3453,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses ""Successful Telemarketing"" and ""International Sales Management.""  He is fluent in French.",2,10477,1,14.4,15,0,10477,PRINI,5,4/17/1995 0:00,5/15/1995 0:00,4/25/1995 0:00,2,13.02,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal,1,Chai,1,1,10 boxes x 20 bags,18,39,0,10,0,2,United Package,(503) 555-3199,1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,,216
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,,4,Peacock,Margaret,Sales Representative,Mrs.,9/19/1937 0:00,5/3/1993 0:00,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,5176,Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.,2,10816,38,263.5,30,0.050000001,10816,GREAL,4,2/6/1996 0:00,3/5/1996 0:00,3/6/1996 0:00,2,719.78,Great Lakes Food Market,2732 Baker Blvd.,Eugene,OR,97403,USA,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,17,0,15,0,2,United Package,(503) 555-3199,18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,7905
